Sample,Match1,count1,perc1,Match2,count2,perc2,Match3,count3,perc3,Match4,count4,perc4
test1,Klebsiella pneumoniae,9141,93.04,Klebsiella sp. Shm-1,221,2.25,Klebsiella quasipneumoniae,164,1.67,Klebsiella sp. KPN54798,136,1.38
test2,Klebsiella pneumoniae,8977,95.82,Klebsiella sp. KPN54798,100,1.07,Salmonella enterica,92,0.98,Klebsiella sp. Shm-1,81,0.86
